1 epoch, LR 0.001000, LOSS 0.703666, TRAIN_ACC 58.33%, EVAL_ACC 42.11%, EER 45.83%, bestEER 45.83%
2 epoch, LR 0.000970, LOSS 0.628485, TRAIN_ACC 63.45%, EVAL_ACC 42.11%, EER 45.83%, bestEER 45.83%
3 epoch, LR 0.000941, LOSS 0.617161, TRAIN_ACC 64.06%, EVAL_ACC 59.65%, EER 41.67%, bestEER 41.67%
4 epoch, LR 0.000913, LOSS 0.604742, TRAIN_ACC 67.10%, EVAL_ACC 56.14%, EER 41.67%, bestEER 41.67%
5 epoch, LR 0.000885, LOSS 0.580318, TRAIN_ACC 70.31%, EVAL_ACC 59.65%, EER 39.39%, bestEER 39.39%
6 epoch, LR 0.000859, LOSS 0.564867, TRAIN_ACC 69.70%, EVAL_ACC 57.89%, EER 48.48%, bestEER 39.39%
7 epoch, LR 0.000833, LOSS 0.560758, TRAIN_ACC 71.79%, EVAL_ACC 57.89%, EER 50.00%, bestEER 39.39%
8 epoch, LR 0.000808, LOSS 0.535521, TRAIN_ACC 72.05%, EVAL_ACC 57.89%, EER 45.83%, bestEER 39.39%
9 epoch, LR 0.000784, LOSS 0.505592, TRAIN_ACC 75.35%, EVAL_ACC 57.89%, EER 51.52%, bestEER 39.39%
10 epoch, LR 0.000760, LOSS 0.488285, TRAIN_ACC 75.52%, EVAL_ACC 57.89%, EER 50.00%, bestEER 39.39%
11 epoch, LR 0.000737, LOSS 0.450933, TRAIN_ACC 79.51%, EVAL_ACC 54.39%, EER 41.67%, bestEER 39.39%
12 epoch, LR 0.000715, LOSS 0.468172, TRAIN_ACC 78.99%, EVAL_ACC 50.88%, EER 42.42%, bestEER 39.39%
13 epoch, LR 0.000694, LOSS 0.438706, TRAIN_ACC 80.21%, EVAL_ACC 52.63%, EER 42.42%, bestEER 39.39%
14 epoch, LR 0.000673, LOSS 0.430434, TRAIN_ACC 80.38%, EVAL_ACC 52.63%, EER 41.67%, bestEER 39.39%
15 epoch, LR 0.000653, LOSS 0.407259, TRAIN_ACC 82.55%, EVAL_ACC 54.39%, EER 42.42%, bestEER 39.39%
16 epoch, LR 0.000633, LOSS 0.379111, TRAIN_ACC 83.85%, EVAL_ACC 56.14%, EER 50.00%, bestEER 39.39%
17 epoch, LR 0.000614, LOSS 0.351954, TRAIN_ACC 87.15%, EVAL_ACC 54.39%, EER 54.17%, bestEER 39.39%
18 epoch, LR 0.000596, LOSS 0.361070, TRAIN_ACC 85.16%, EVAL_ACC 54.39%, EER 54.55%, bestEER 39.39%
19 epoch, LR 0.000578, LOSS 0.342460, TRAIN_ACC 86.98%, EVAL_ACC 56.14%, EER 51.52%, bestEER 39.39%
20 epoch, LR 0.000561, LOSS 0.328452, TRAIN_ACC 88.19%, EVAL_ACC 59.65%, EER 45.83%, bestEER 39.39%
21 epoch, LR 0.000544, LOSS 0.315040, TRAIN_ACC 87.41%, EVAL_ACC 57.89%, EER 50.00%, bestEER 39.39%
22 epoch, LR 0.000527, LOSS 0.289429, TRAIN_ACC 89.58%, EVAL_ACC 54.39%, EER 45.83%, bestEER 39.39%
23 epoch, LR 0.000512, LOSS 0.303902, TRAIN_ACC 89.58%, EVAL_ACC 50.88%, EER 51.52%, bestEER 39.39%
24 epoch, LR 0.000496, LOSS 0.262348, TRAIN_ACC 91.41%, EVAL_ACC 50.88%, EER 50.00%, bestEER 39.39%
25 epoch, LR 0.000481, LOSS 0.274609, TRAIN_ACC 89.41%, EVAL_ACC 50.88%, EER 45.83%, bestEER 39.39%
26 epoch, LR 0.000467, LOSS 0.251912, TRAIN_ACC 92.01%, EVAL_ACC 52.63%, EER 50.00%, bestEER 39.39%
27 epoch, LR 0.000453, LOSS 0.253521, TRAIN_ACC 91.15%, EVAL_ACC 52.63%, EER 45.45%, bestEER 39.39%
28 epoch, LR 0.000439, LOSS 0.240286, TRAIN_ACC 92.88%, EVAL_ACC 54.39%, EER 51.52%, bestEER 39.39%
29 epoch, LR 0.000426, LOSS 0.270574, TRAIN_ACC 90.54%, EVAL_ACC 50.88%, EER 51.52%, bestEER 39.39%
30 epoch, LR 0.000413, LOSS 0.228318, TRAIN_ACC 92.71%, EVAL_ACC 54.39%, EER 45.83%, bestEER 39.39%
31 epoch, LR 0.000401, LOSS 0.222441, TRAIN_ACC 93.75%, EVAL_ACC 56.14%, EER 50.00%, bestEER 39.39%
32 epoch, LR 0.000389, LOSS 0.213150, TRAIN_ACC 93.75%, EVAL_ACC 56.14%, EER 39.39%, bestEER 39.39%
33 epoch, LR 0.000377, LOSS 0.217052, TRAIN_ACC 93.06%, EVAL_ACC 54.39%, EER 42.42%, bestEER 39.39%
34 epoch, LR 0.000366, LOSS 0.203616, TRAIN_ACC 93.14%, EVAL_ACC 52.63%, EER 51.52%, bestEER 39.39%
35 epoch, LR 0.000355, LOSS 0.193136, TRAIN_ACC 94.44%, EVAL_ACC 50.88%, EER 54.55%, bestEER 39.39%
36 epoch, LR 0.000344, LOSS 0.221964, TRAIN_ACC 92.80%, EVAL_ACC 52.63%, EER 42.42%, bestEER 39.39%
37 epoch, LR 0.000334, LOSS 0.190889, TRAIN_ACC 94.01%, EVAL_ACC 50.88%, EER 50.00%, bestEER 39.39%
38 epoch, LR 0.000324, LOSS 0.227786, TRAIN_ACC 92.01%, EVAL_ACC 52.63%, EER 45.45%, bestEER 39.39%
39 epoch, LR 0.000314, LOSS 0.187814, TRAIN_ACC 94.53%, EVAL_ACC 54.39%, EER 41.67%, bestEER 39.39%
40 epoch, LR 0.000305, LOSS 0.196686, TRAIN_ACC 93.49%, EVAL_ACC 52.63%, EER 41.67%, bestEER 39.39%
41 epoch, LR 0.000296, LOSS 0.178640, TRAIN_ACC 94.62%, EVAL_ACC 47.37%, EER 45.45%, bestEER 39.39%
42 epoch, LR 0.000287, LOSS 0.185477, TRAIN_ACC 94.44%, EVAL_ACC 49.12%, EER 45.83%, bestEER 39.39%
43 epoch, LR 0.000278, LOSS 0.183258, TRAIN_ACC 94.27%, EVAL_ACC 50.88%, EER 45.45%, bestEER 39.39%
44 epoch, LR 0.000270, LOSS 0.181046, TRAIN_ACC 94.97%, EVAL_ACC 50.88%, EER 45.83%, bestEER 39.39%
45 epoch, LR 0.000262, LOSS 0.187207, TRAIN_ACC 94.10%, EVAL_ACC 52.63%, EER 48.48%, bestEER 39.39%
46 epoch, LR 0.000254, LOSS 0.169609, TRAIN_ACC 95.49%, EVAL_ACC 50.88%, EER 51.52%, bestEER 39.39%
47 epoch, LR 0.000246, LOSS 0.182420, TRAIN_ACC 94.01%, EVAL_ACC 49.12%, EER 54.17%, bestEER 39.39%
48 epoch, LR 0.000239, LOSS 0.161195, TRAIN_ACC 95.66%, EVAL_ACC 49.12%, EER 51.52%, bestEER 39.39%
