1 epoch, LR 0.001000, LOSS 0.741089, TRAIN_ACC 53.47%, EVAL_ACC 47.37%, EER 40.74%, bestEER 40.74%
2 epoch, LR 0.000970, LOSS 0.665755, TRAIN_ACC 59.81%, EVAL_ACC 47.37%, EER 30.00%, bestEER 30.00%
3 epoch, LR 0.000941, LOSS 0.626245, TRAIN_ACC 63.89%, EVAL_ACC 47.37%, EER 26.67%, bestEER 26.67%
4 epoch, LR 0.000913, LOSS 0.599768, TRAIN_ACC 68.49%, EVAL_ACC 52.63%, EER 26.67%, bestEER 26.67%
5 epoch, LR 0.000885, LOSS 0.541162, TRAIN_ACC 73.00%, EVAL_ACC 52.63%, EER 29.63%, bestEER 26.67%
6 epoch, LR 0.000859, LOSS 0.538898, TRAIN_ACC 73.09%, EVAL_ACC 56.14%, EER 29.63%, bestEER 26.67%
7 epoch, LR 0.000833, LOSS 0.518120, TRAIN_ACC 75.17%, EVAL_ACC 56.14%, EER 33.33%, bestEER 26.67%
8 epoch, LR 0.000808, LOSS 0.510371, TRAIN_ACC 75.52%, EVAL_ACC 54.39%, EER 37.04%, bestEER 26.67%
9 epoch, LR 0.000784, LOSS 0.501357, TRAIN_ACC 75.00%, EVAL_ACC 54.39%, EER 33.33%, bestEER 26.67%
10 epoch, LR 0.000760, LOSS 0.486220, TRAIN_ACC 76.39%, EVAL_ACC 52.63%, EER 33.33%, bestEER 26.67%
11 epoch, LR 0.000737, LOSS 0.462013, TRAIN_ACC 80.38%, EVAL_ACC 50.88%, EER 33.33%, bestEER 26.67%
12 epoch, LR 0.000715, LOSS 0.441811, TRAIN_ACC 81.16%, EVAL_ACC 50.88%, EER 33.33%, bestEER 26.67%
13 epoch, LR 0.000694, LOSS 0.431139, TRAIN_ACC 80.73%, EVAL_ACC 49.12%, EER 33.33%, bestEER 26.67%
14 epoch, LR 0.000673, LOSS 0.420595, TRAIN_ACC 80.56%, EVAL_ACC 49.12%, EER 44.44%, bestEER 26.67%
15 epoch, LR 0.000653, LOSS 0.419307, TRAIN_ACC 81.08%, EVAL_ACC 49.12%, EER 33.33%, bestEER 26.67%
16 epoch, LR 0.000633, LOSS 0.402664, TRAIN_ACC 81.86%, EVAL_ACC 49.12%, EER 40.00%, bestEER 26.67%
17 epoch, LR 0.000614, LOSS 0.388266, TRAIN_ACC 83.16%, EVAL_ACC 49.12%, EER 44.44%, bestEER 26.67%
18 epoch, LR 0.000596, LOSS 0.384668, TRAIN_ACC 84.29%, EVAL_ACC 49.12%, EER 37.04%, bestEER 26.67%
