Best model: model_fold_4_epoch_1
0.0, 0.0
0.0, 0.025
0.0, 0.075
0.11764705882352941, 0.075
0.11764705882352941, 0.25
0.23529411764705882, 0.25
0.23529411764705882, 0.3
0.29411764705882354, 0.3
0.29411764705882354, 0.525
0.35294117647058826, 0.525
0.35294117647058826, 0.625
0.4117647058823529, 0.625
0.4117647058823529, 0.775
0.47058823529411764, 0.775
0.47058823529411764, 0.8
0.5294117647058824, 0.8
0.5294117647058824, 0.85
0.5882352941176471, 0.85
0.5882352941176471, 0.875
0.6470588235294118, 0.875
0.6470588235294118, 0.95
0.7647058823529411, 0.95
0.7647058823529411, 0.975
0.9411764705882353, 0.975
0.9411764705882353, 1.0
1.0, 1.0
