1 epoch, LR 0.001000, LOSS 0.742241, TRAIN_ACC 54.95%, EVAL_ACC 42.11%, EER 42.42%, bestEER 42.42%
2 epoch, LR 0.000970, LOSS 0.656014, TRAIN_ACC 62.41%, EVAL_ACC 57.89%, EER 39.39%, bestEER 39.39%
3 epoch, LR 0.000941, LOSS 0.624972, TRAIN_ACC 65.10%, EVAL_ACC 57.89%, EER 41.67%, bestEER 39.39%
4 epoch, LR 0.000913, LOSS 0.596589, TRAIN_ACC 67.71%, EVAL_ACC 59.65%, EER 45.83%, bestEER 39.39%
5 epoch, LR 0.000885, LOSS 0.595034, TRAIN_ACC 67.27%, EVAL_ACC 57.89%, EER 45.83%, bestEER 39.39%
6 epoch, LR 0.000859, LOSS 0.574424, TRAIN_ACC 69.79%, EVAL_ACC 57.89%, EER 45.45%, bestEER 39.39%
7 epoch, LR 0.000833, LOSS 0.579615, TRAIN_ACC 68.75%, EVAL_ACC 57.89%, EER 42.42%, bestEER 39.39%
8 epoch, LR 0.000808, LOSS 0.533495, TRAIN_ACC 73.44%, EVAL_ACC 57.89%, EER 42.42%, bestEER 39.39%
9 epoch, LR 0.000784, LOSS 0.504372, TRAIN_ACC 75.52%, EVAL_ACC 54.39%, EER 39.39%, bestEER 39.39%
10 epoch, LR 0.000760, LOSS 0.509351, TRAIN_ACC 75.09%, EVAL_ACC 54.39%, EER 42.42%, bestEER 39.39%
11 epoch, LR 0.000737, LOSS 0.483475, TRAIN_ACC 77.00%, EVAL_ACC 50.88%, EER 39.39%, bestEER 39.39%
12 epoch, LR 0.000715, LOSS 0.478924, TRAIN_ACC 77.17%, EVAL_ACC 49.12%, EER 42.42%, bestEER 39.39%
13 epoch, LR 0.000694, LOSS 0.461524, TRAIN_ACC 78.82%, EVAL_ACC 50.88%, EER 45.45%, bestEER 39.39%
14 epoch, LR 0.000673, LOSS 0.419825, TRAIN_ACC 81.25%, EVAL_ACC 50.88%, EER 50.00%, bestEER 39.39%
15 epoch, LR 0.000653, LOSS 0.425239, TRAIN_ACC 81.08%, EVAL_ACC 47.37%, EER 58.33%, bestEER 39.39%
16 epoch, LR 0.000633, LOSS 0.413861, TRAIN_ACC 82.29%, EVAL_ACC 43.86%, EER 45.45%, bestEER 39.39%
17 epoch, LR 0.000614, LOSS 0.359838, TRAIN_ACC 87.07%, EVAL_ACC 45.61%, EER 54.17%, bestEER 39.39%
18 epoch, LR 0.000596, LOSS 0.374209, TRAIN_ACC 84.46%, EVAL_ACC 45.61%, EER 54.17%, bestEER 39.39%
19 epoch, LR 0.000578, LOSS 0.353331, TRAIN_ACC 86.37%, EVAL_ACC 45.61%, EER 45.45%, bestEER 39.39%
20 epoch, LR 0.000561, LOSS 0.337789, TRAIN_ACC 85.85%, EVAL_ACC 47.37%, EER 42.42%, bestEER 39.39%
21 epoch, LR 0.000544, LOSS 0.338055, TRAIN_ACC 86.63%, EVAL_ACC 54.39%, EER 45.83%, bestEER 39.39%
22 epoch, LR 0.000527, LOSS 0.348726, TRAIN_ACC 84.98%, EVAL_ACC 57.89%, EER 45.83%, bestEER 39.39%
23 epoch, LR 0.000512, LOSS 0.316489, TRAIN_ACC 87.93%, EVAL_ACC 56.14%, EER 48.48%, bestEER 39.39%
24 epoch, LR 0.000496, LOSS 0.284427, TRAIN_ACC 89.76%, EVAL_ACC 57.89%, EER 50.00%, bestEER 39.39%
25 epoch, LR 0.000481, LOSS 0.267826, TRAIN_ACC 90.97%, EVAL_ACC 54.39%, EER 50.00%, bestEER 39.39%
26 epoch, LR 0.000467, LOSS 0.272438, TRAIN_ACC 90.80%, EVAL_ACC 52.63%, EER 45.45%, bestEER 39.39%
27 epoch, LR 0.000453, LOSS 0.275724, TRAIN_ACC 89.84%, EVAL_ACC 54.39%, EER 54.17%, bestEER 39.39%
28 epoch, LR 0.000439, LOSS 0.272490, TRAIN_ACC 89.58%, EVAL_ACC 54.39%, EER 54.17%, bestEER 39.39%
29 epoch, LR 0.000426, LOSS 0.264533, TRAIN_ACC 89.67%, EVAL_ACC 49.12%, EER 54.17%, bestEER 39.39%
30 epoch, LR 0.000413, LOSS 0.265077, TRAIN_ACC 90.80%, EVAL_ACC 54.39%, EER 51.52%, bestEER 39.39%
31 epoch, LR 0.000401, LOSS 0.226134, TRAIN_ACC 92.62%, EVAL_ACC 50.88%, EER 51.52%, bestEER 39.39%
32 epoch, LR 0.000389, LOSS 0.223360, TRAIN_ACC 93.66%, EVAL_ACC 56.14%, EER 45.45%, bestEER 39.39%
33 epoch, LR 0.000377, LOSS 0.247829, TRAIN_ACC 91.49%, EVAL_ACC 59.65%, EER 39.39%, bestEER 39.39%
34 epoch, LR 0.000366, LOSS 0.232896, TRAIN_ACC 91.84%, EVAL_ACC 59.65%, EER 45.45%, bestEER 39.39%
35 epoch, LR 0.000355, LOSS 0.231099, TRAIN_ACC 92.10%, EVAL_ACC 57.89%, EER 45.45%, bestEER 39.39%
36 epoch, LR 0.000344, LOSS 0.225580, TRAIN_ACC 92.45%, EVAL_ACC 54.39%, EER 48.48%, bestEER 39.39%
37 epoch, LR 0.000334, LOSS 0.199944, TRAIN_ACC 93.32%, EVAL_ACC 59.65%, EER 45.83%, bestEER 39.39%
38 epoch, LR 0.000324, LOSS 0.215353, TRAIN_ACC 93.23%, EVAL_ACC 61.40%, EER 42.42%, bestEER 39.39%
39 epoch, LR 0.000314, LOSS 0.230231, TRAIN_ACC 92.27%, EVAL_ACC 61.40%, EER 42.42%, bestEER 39.39%
40 epoch, LR 0.000305, LOSS 0.209333, TRAIN_ACC 92.27%, EVAL_ACC 61.40%, EER 42.42%, bestEER 39.39%
41 epoch, LR 0.000296, LOSS 0.202450, TRAIN_ACC 93.92%, EVAL_ACC 63.16%, EER 39.39%, bestEER 39.39%
42 epoch, LR 0.000287, LOSS 0.213342, TRAIN_ACC 93.32%, EVAL_ACC 63.16%, EER 45.83%, bestEER 39.39%
43 epoch, LR 0.000278, LOSS 0.192368, TRAIN_ACC 93.32%, EVAL_ACC 61.40%, EER 39.39%, bestEER 39.39%
44 epoch, LR 0.000270, LOSS 0.186212, TRAIN_ACC 93.84%, EVAL_ACC 59.65%, EER 39.39%, bestEER 39.39%
45 epoch, LR 0.000262, LOSS 0.209948, TRAIN_ACC 92.80%, EVAL_ACC 57.89%, EER 39.39%, bestEER 39.39%
46 epoch, LR 0.000254, LOSS 0.202538, TRAIN_ACC 92.19%, EVAL_ACC 54.39%, EER 39.39%, bestEER 39.39%
47 epoch, LR 0.000246, LOSS 0.181727, TRAIN_ACC 94.70%, EVAL_ACC 47.37%, EER 41.67%, bestEER 39.39%
48 epoch, LR 0.000239, LOSS 0.161574, TRAIN_ACC 95.40%, EVAL_ACC 54.39%, EER 42.42%, bestEER 39.39%
49 epoch, LR 0.000232, LOSS 0.209906, TRAIN_ACC 92.71%, EVAL_ACC 52.63%, EER 39.39%, bestEER 39.39%
50 epoch, LR 0.000225, LOSS 0.189486, TRAIN_ACC 93.58%, EVAL_ACC 54.39%, EER 41.67%, bestEER 39.39%
51 epoch, LR 0.000218, LOSS 0.166402, TRAIN_ACC 95.14%, EVAL_ACC 54.39%, EER 39.39%, bestEER 39.39%
52 epoch, LR 0.000212, LOSS 0.165456, TRAIN_ACC 94.97%, EVAL_ACC 54.39%, EER 39.39%, bestEER 39.39%
53 epoch, LR 0.000205, LOSS 0.189062, TRAIN_ACC 93.23%, EVAL_ACC 54.39%, EER 39.39%, bestEER 39.39%
54 epoch, LR 0.000199, LOSS 0.151867, TRAIN_ACC 95.49%, EVAL_ACC 54.39%, EER 39.39%, bestEER 39.39%
